Name,SSN ,Salary,Awards,Tax_paid,Eligible_for_Pay_raise,
Sachin,1234,25000,2,YES,YES,
Ramesh,2341,26000,1,NO,NO,
Raju,3214,27000,0,YES,NO,
Rahul,5432,23000,1,YES,YES,
Vivek,5543,35000,3,NO,YES,
Aman,9999,31000,2,YES,YES,
Santosh,7908,30000,3,NO,NO,
Rishabh,9878,27000,4,YES,NO,
Pranjal,5656,30000,2,YES,YES,
Charan,5687,29000,1,NO,YES,
Mohit,2376,26000,5,NO,YES,
Shivam,3878,37000,2,YES,YES,
Neeshad,3748,32000,3,YES,NO,
Taifoor,4244,37000,4,YES,YES,
Abhishek,3244,28000,5,NO,YES,
Saurabh,7676,29000,2,NO,NO,
Omkar,5344,25000,1,NO,YES,
Mritunjay,6767,36000,0,YES,NO,
Vikash,2454,40000,4,YES,YES,
